"","comFA","comK","degU","scoC","comFB","comFC","csrA","flgK","flgL","flgM","fliW","yviE","yvyF","yvyG","pval","z","inv_cof_var"
"GSM672744",9.266752045,9.456306691,12.56087937,10.14216097,11.32477955,11.25459517,10.67147621,12.56699257,12.68047472,12.78984721,10.98734907,10.61090149,12.6866171,12.45103717,0.175471916987687,0.932760124207823,10.045644797435
"GSM672745",10.12797993,9.855135316,13.04626283,11.9588368,11.49468773,10.68536877,11.1778052,12.60065019,12.91991375,13.20505651,11.84436245,11.52222045,13.36243383,12.73977435,0.0567527310959334,1.5826315758376,11.1775716821321
"GSM672746",10.36471933,9.587906691,12.49129033,10.81124015,11.7644632,11.58755948,11.02428234,13.47410706,13.34864684,13.73114758,11.19147212,10.94389777,13.57092379,13.41777658,0.268319592207976,0.617903147013648,9.49723622151312
"GSM672747",10.29357361,9.74521487,12.59637175,10.90037918,12.05551227,11.66956506,11.01674572,13.59952639,13.56426171,13.84343978,11.29894126,10.84732714,13.7522145,13.47410706,0.353441274089492,0.37604620218877,9.07597694414153
"GSM672748",10.28045836,9.727094424,12.45247361,10.37459182,11.93752491,11.59011673,11.02368327,13.2904829,13.37838364,13.8692948,11.10905242,10.91817807,13.64276654,13.39298996,0.303523464489623,0.514293323354325,9.3167716932982
"GSM672749",9.311478439,10.01376952,13.55136803,10.33356431,11.31787472,11.40524758,10.92964758,12.71507175,12.89381004,13.12244907,10.9382052,11.20329851,12.85414851,12.52103866,0.183502789273627,0.902096555392962,9.99223589966719
"GSM672750",9.2174171,10.32731338,13.5084171,10.3979829,11.53634684,11.34212082,10.74380595,12.92910465,12.78829182,13.05163569,11.09029926,10.87889517,12.88597286,12.7173645,0.264232517680396,0.630350888269189,9.51891732928538
"GSM672751",9.344091636,10.44871636,13.3702461,10.46812714,11.77321896,11.7195487,10.92265688,12.94290967,12.988971,13.54124015,11.04821115,11.00480892,11.95744758,13.17256729,0.27108686167088,0.609529201120997,9.48265073008536
"GSM672752",9.84866803,9.855135316,13.31340074,9.889610409,11.56165688,11.50542677,10.89689591,12.60065019,12.86639294,13.17780409,11.11013494,11.06615223,12.16032193,12.77562007,0.0397072377917319,1.75409356822481,11.476219112174
"GSM672753",9.658863569,9.724398885,13.41359628,9.825399257,11.45859368,11.44184461,10.66912045,12.56927323,12.68502305,12.64338773,10.91080595,10.86981041,12.48666022,12.36067658,0.0401001233753782,1.74952537349685,11.4682623656295
"GSM672754",10.11892045,9.571783086,13.31058439,9.448824164,11.63001524,11.59397472,10.84505911,12.44358959,12.53577732,12.78984721,10.87328067,10.82770632,12.6836,12.45247361,0.00848206545887096,2.38748422199279,12.5794402303164
